Name,,ID,Health,,Phys Dmg Neg,,Strike Dmg Neg,,Slash Dmg Neg,,Pierce Dmg Neg,,Magic Dmg Neg,,Fire Dmg Neg,,Ltng Dmg Neg	,,Holy Dmg Neg,,,Poison Resist,Rot Resist,Bleed Resist,Frost Resist,Sleep Resist,Madness Resist,Blight Resist,Poise
"Gladius, Beast of Night",,75000020,33984,,100,0,0,0,0,0,0,-10,100,0,100,50,100,0,100,-35,,542,252,252,542,154,Immune,Immune,400
"Adel, Baron of Night",,75100020,39421,,100,0,0,0,0,0,0,0,100,0,100,20,100,50,100,0,,154,154,542,154,154,Immune,Immune,500
"Gnoster, Wisdom of Night (Moth)",,75200020,39084,,100,-15,0,-15,0,-25,0,-25,100,50,100,-40,100,10,100,10,,542,154,154,154,542,Immune,Immune,333.33
"Gnoster, Wisdom of Night (Pest)",,75300020,39084,,100,10,0,-20,0,20,0,-10,100,10,100,-35,100,10,100,10,,252,154,154,154,154,Immune,Immune,500
"Maris, Fathom of Night",,75400020,38064,,100,0,0,20,0,-15,0,10,100,20,100,50,100,-40,100,15,,Immune,252,Immune,252,Immune,Immune,Immune,500
"Libra, Creature of Night",,75610010,39144,,100,0,0,0,0,-10,0,0,100,20,100,-20,100,0,100,-35,,154,154,252,252,Immune,154,Immune,400
"Fulghor, Champion of Nightglow",,76000010,35682,,100,0,0,0,0,0,0,0,100,0,100,0,100,-20,100,30,,154,154,154,154,154,Immune,Immune,516.66
"Caligo, Miasma of Night",,49000010,36024,,100,0,0,-15,0,15,0,10,100,20,100,-35,100,20,100,20,,252,252,252,542,542,Immune,Immune,533.33
The Shape of Night,,75800010,14995,,100,0,0,10,0,-15,0,-10,100,0,100,-20,100,0,100,-35,,Immune,252,Immune,Immune,542,Immune,Immune,433.33
Heolstor the Nightlord,,75802010,30588,,100,0,0,-10,0,10,0,-15,100,0,100,0,100,-20,100,-30,,Immune,252,Immune,Immune,542,Immune,Immune,433.33
Average,,,39485,,100,0,0,-1,0,-3,0,-3,100,12,100,1,100,-1,100,-3,,300,196,252,251,300,154,Immune,460
